itemId,price,averageRating,totalReviews
100002528,2499000,4,8
100003785,3788000,3,3
100004132,3850000,3,2
100004505,1275000,3,11
100005037,3984100,5,1
100006860,55800,4,2
100007498,8132000,5,2
100010722,1990000,4,10
100010745,3190000,4,7
100015720,8000000,3,8
100024235,1800000,3,3
100027053,198220,5,1
100027329,755000,4,3
100027616,209880,5,4
100028438,39900,4,6
100030605,271688,5,1
100034104,124000,4,91
100034117,126000,2,1
100036366,1149000,4,54
100038665,4200000,3,3
100042741,79000,2,6
100047783,105000,5,1
100052565,740000,4,13
100055947,235800,4,17
100061038,770000,4,29
100072071,7725000,2,1
100086255,2349000,4,6
100087269,5700000,4,2
100094378,655000,4,1
100094942,1095000,4,40
100110786,1740000,4,22
100111226,1485000,5,1
100125285,95000,4,29
100125294,190000,4,10
100125304,65000,2,10
100125311,65000,2,8
100133210,165000,3,3
100139725,130000,3,2
100154846,780000,4,3
100154897,1250000,5,1
100169437,771000,5,6
100183475,2290000,5,5
100184344,2290000,2,2
100191938,3050000,3,23
100191956,2290000,5,1
100192021,2629000,1,4
100198730,95000,2,1
100213091,60000,5,2
100216044,1825000,4,7
100235496,40000,5,2
100235739,1195000,4,26
100268501,11999000,5,2
100305829,1085000,5,3
100306249,1710000,5,2
100309395,7888000,5,8
100310127,900000,5,2
100338045,1395000,5,1
100338987,1395000,4,5
100339807,1295000,4,8
100344408,1249000,2,4
100347655,75999,5,4
100348611,2095000,5,1
100356012,44999,4,28
100363390,120000,3,7
100363400,114000,4,3
100363874,3948000,4,10
100363934,11999000,5,2
10041426,173600,5,5
10041478,39900,4,6
100443971,51400,3,1
100551647,87000,3,1
100560370,2095000,5,1
100560860,2095000,4,1
100564515,99000,3,5
100570199,3053900,3,1
100571392,1643000,3,6
100571835,3095000,5,1
100580784,2299000,5,7
100581238,870000,4,3
100582501,1030000,3,3
100590773,900000,5,1
100623310,58900,4,6
100623324,59900,4,6
100627725,1000000,4,1
100630566,102000,4,8
100645246,1945000,4,8
100671263,1458000,5,3
100696720,2000000,3,3
100928315,32863,3,2
100934823,42500,5,1
100938513,66100,4,6
100944134,73400,4,1
100990051,43900,3,3
101118955,2995620,2,3
101119036,2001325,3,1
101159363,46153,4,20
101187978,90000,5,2
101187982,132000,4,3
101207851,55000,2,2
101257301,3665000,4,3
101389649,83295,5,3
101390442,76094,3,4
101423283,2100000,5,1
101431744,8299000,5,1
101457364,92000,3,6
101460895,157000,5,1
101479369,55000,4,28
101479371,65000,4,49
101479372,113000,5,1
101479374,70000,4,4
101479375,90000,5,1
101479376,142000,4,2
101479377,268000,5,2
101479379,90000,4,15
101479380,90000,5,2
101523246,389000,5,2
101528155,7720000,4,9
101533221,6450000,4,1
101535545,115000,3,1
101536686,115000,4,2
101617953,1595000,5,3
101624778,8500000,5,1
101656268,4599000,5,1
101663114,1890000,2,8
10171688,3553000,3,1
101865238,3699000,4,1
101865480,5987000,5,1
101896826,120000,5,1
101927547,6498000,5,1
101932491,3948000,4,2
10195841,57000,4,7
101982527,2897500,3,1
102072694,5750000,3,3
102076465,5572000,5,2
102080559,5571000,5,4
102081064,25000,4,3
102086307,11000000,5,1
102134872,60000,4,11
102135800,72900,5,1
102155833,2500000,4,5
102157473,6599000,3,1
102160249,6300000,5,2
102185555,35000,5,1
102233073,7515500,4,3
102239569,5200000,2,3
102243666,100500,3,2
102290727,97000,4,2
102400921,4375000,3,1
102403585,7335000,4,3
102408427,4975000,4,19
102413248,6370000,4,1
10245840,6057000,5,1
102494885,1200000,5,1
102499106,1250000,3,40
102516961,206036,5,1
102596349,21000000,5,2
102600852,570000,1,1
102602911,1675000,3,14
102604520,1700000,5,3
102605803,2012000,5,1
102619776,7000000,5,1
102655829,773000,5,1
102655830,789000,5,1
102655832,789000,5,1
102655833,1085000,5,1
102655834,1190000,5,1
102655839,1085000,5,3
102665638,59000,4,19
102666159,48000,2,56
102686573,16999000,5,1
10274414,7780000,4,12
102744286,1850000,4,6
10274903,11555000,4,30
102773259,210000,5,2
102940406,46700,3,3
102953395,122000,5,1
102955137,69000,4,5
102967522,35000,4,70
102976994,11999000,1,1
102990498,7800000,4,2
103009081,6500000,5,4
103041569,4450000,2,1
103044083,965000,3,3
103044088,1395000,4,1
103065769,715000,3,16
103065770,725000,4,166
103065965,6442500,1,1
103066893,6455000,4,2
103081597,14488000,5,1
103086690,7999000,1,2
103105943,56900,4,3
103113431,67000,5,1
10314794,169000,2,1
103250994,3799000,5,1
103339054,710000,4,6
103351122,760000,4,10
103351123,760000,5,2
103351124,760000,4,7
103351125,760000,5,4
103351126,760000,4,22
103351127,1088000,4,1
103351128,1088000,4,27
103351129,1088000,4,9
103351130,1088000,4,29
103351132,1088000,5,1
103351133,1088000,4,10
103357922,955000,4,86
103357923,955000,4,12
103357924,955000,4,21
103357925,955000,4,25
103357926,955000,4,15
103357927,955000,5,2
103357928,1395000,3,5
103357929,1395000,5,1
103357934,2295000,3,5
103357937,2295000,3,1
103357940,899500,4,1
103357943,899500,4,4
103357944,899500,1,1
103357946,1220000,5,1
103357952,1950000,4,7
103357955,2195000,3,1
103357956,2195000,5,1
103374024,65000,4,1
103374033,7699000,5,1
103377776,79400,4,505
103377785,145300,4,16
103436368,781000,5,1
103501951,45000,4,45
103502105,40000,4,11
103563716,66100,1,1
103610444,2199000,3,4
103630903,307000,4,2
1037792,1105000,4,2
1037881,1105000,5,1
1038188,1642000,4,1
103863172,120000,5,1
103908897,1125000,3,4
103911057,1145000,5,1
103928217,859000,4,13
103928452,1133000,4,2
103956973,90061,4,71
103957314,90061,5,1
103957559,148029,4,51
103983495,1470000,4,3
103985324,819900,4,21
103985970,799000,4,8
104010879,960000,5,5
104015395,1060000,3,5
104015911,1059000,4,5
104020695,1065000,4,128
104023427,1043000,4,12
104074740,280000,5,1
104101147,59900,3,3
104107031,4820001,3,4
104107882,6160000,4,2
104193370,51282,4,13
104200083,85000,5,1
104206668,695000,4,11
104207424,715000,4,104
104210620,955000,4,3
104211244,772000,4,36
104239092,55000,2,3
104246946,200000,5,1
104246948,350000,5,1
104247455,350000,5,2
104250465,52223,4,70
104255653,85000,3,2
104262130,53699,4,37
104262914,111667,4,20
104263086,45267,4,17
104263123,44213,5,2
104263422,72459,4,15
104263446,55807,4,18
104263539,59179,4,67
104263613,134854,5,3
104263637,79521,4,35
104263931,63711,4,77
1043227,6150000,5,2
104395716,855000,5,1
104441492,677000,1,1
104489206,200000,4,2
104498563,350000,5,1
104683820,1615000,5,1
104683899,84000,5,1
104688499,6999000,3,1
104926096,4050000,4,1
105072308,77000,4,5
105077136,2150000,4,4
105088855,1403500,4,7
105088856,1375000,5,2
105088857,1375000,3,1
105088859,1350000,5,1
105088860,1375000,5,1
105088861,2295000,4,1
105088862,2295000,5,1
105088864,2295000,4,6
105103089,1524900,3,13
105103891,2550000,2,1
105502901,61399,5,1
105528768,79500,4,362
105614057,700000,2,4
105770076,3799000,1,1
10589516,900000,5,2
10589945,807000,5,1
10589946,1184000,4,1
10589983,317000,5,1
10589999,106000,4,1
10592401,640000,4,3
10592452,740000,4,10
10592514,1080000,5,4
10592557,900000,4,5
105930432,45000,4,11
105993478,1258000,4,10
106068219,99899,2,7
106118865,1190000,5,1
106153673,69400,3,2
106176697,30000,3,27
106202930,2175000,3,15
106204315,693000,4,4
106257154,95000,4,14
106276900,69000,5,2
106277037,59000,4,3
106302407,5724000,4,1
1063107,1050000,5,1
1063115,35000,4,102
106313399,99000,5,2
106374699,63300,5,1
106381329,10000000,1,12
106382239,62000,4,2
106384268,68000,4,11
106385078,62000,4,4
106412031,40000,4,17
106483781,799000,4,16
106489345,720000,4,5
106492683,858000,3,3
106492686,1725000,5,4
106492688,1725000,1,1
106492689,1725000,5,2
106492690,2239000,5,2
106492692,2050000,5,2
106492693,2239000,5,1
106577427,200000,5,7
106595850,1998000,4,12
106595919,1258000,5,2
106595922,1398000,3,1
106595990,7999000,5,1
106701982,83000,4,8
106761113,3990000,5,2
106761424,5590000,5,1
106795112,11999000,4,2
106852893,5920000,5,1
106864295,97900,4,69
106879315,780000,5,3
106879514,779000,5,1
106879592,760000,4,22
106940538,130000,2,1
106943571,43000,4,8
107069386,1495000,5,2
107069387,1495000,4,1
107069392,2395000,5,1
107298742,60000,1,1
107300090,45000,4,34
107300104,52000,4,12
107300357,71000,5,1
107541061,89000,5,1
107541080,42900,3,2
107541114,51900,4,2
107548056,6999000,4,6
1076179,55000,4,63
107631278,270105,5,1
1076816,100000,4,34
1077142,135000,4,1
107844899,705000,5,1
107846472,705000,4,3
107856650,39000,3,19
108066952,1115000,4,4
108076010,7200000,3,1
108083035,2790000,5,2
108106822,1065000,4,8
108253226,6873700,5,3
108254448,725000,5,1
108254588,715000,4,30
108255083,5999000,2,5
108404196,8800000,1,2
108427944,269500,4,34
108434712,355000,4,40
108468276,79000,1,1
108488716,3599000,5,3
108698137,59000,4,73
108702758,39000,4,45
108710879,5299000,5,3
108831542,7906000,5,2
108854604,200000,1,4
108886997,3399000,5,1
10923005,50800,4,263
10935855,98000,4,9
10939240,599000,4,19
109471537,25190000,5,1
109545110,3349000,5,1
109550524,7199000,5,1
109552110,5554000,5,1
109608252,766000,4,2
109609017,805000,4,12
109609125,772000,4,7
109616483,102500,5,1
109669519,3999000,3,1
109669579,3999000,1,1
109836724,101500,5,2
109853449,113000,4,42
110186262,79000,5,1
110191682,43500,5,4
110191943,43500,4,20
110194218,54500,4,11
110195535,46500,5,9
110195833,46500,5,6
110195979,60500,5,1
110196070,107500,5,1
110270853,148000,5,10
110292878,18500000,5,2
110295757,69700,4,39
110295909,86600,4,188
110296085,158000,4,48
110304821,84800,4,220
110433728,5600000,5,3
110505477,390000,5,2
110506135,340000,5,2
110508546,365000,3,5
110566628,3552900,5,3
110568244,1150000,4,14
11057955,55000,4,54
11059034,3200000,3,2
110592714,770000,4,1
11060288,2099000,4,8
110630219,72000,4,2
110631137,95000,1,1
110687257,3999000,5,2
11076416,8000,4,4
11079867,109900,2,7
11080008,98900,3,2
11080048,70000,2,8
11085289,54000,4,12
11085356,79000,4,8
11089858,8499000,4,1
11112670,382400,5,1
11112672,348640,5,2
11113905,2310000,5,2
11113906,3100000,5,3
111181933,90000,4,1
111217500,1490000,5,1
111217503,2200000,3,3
111217514,2000000,5,1
111304588,74329000,4,3
111475276,40000,2,1
111477098,74000,4,46
111529888,165000,5,1
111545513,122000,1,1
111545698,112000,4,1
111559423,3550000,5,1
111568693,2175000,2,43
111593559,4583500,5,1
111603330,189000,5,1
111603750,210000,5,1
111630530,59345000,4,15
11166711,120000,4,1
11167030,95000,4,1
11167031,120000,5,1
11167612,125000,2,2
11169281,185000,5,1
111697267,40000,3,3
111702245,5499000,4,1
111707685,710000,4,19
11175321,3695500,5,2
111762994,11000000,5,1
111968814,829000,5,1
112000186,49000,3,11
112002447,2999000,3,9
112015864,829000,5,1
112034154,5500000,5,1
112081646,1315000,4,1
112128450,21500000,5,1
11215648,7075000,4,8
112168188,2350000,4,3
112169133,3750000,5,3
112171590,2500000,5,1
11233332,3990000,4,2
112345738,125000,5,1
112421227,999500,4,8
112422518,1030000,4,13
112422918,2677500,5,1
112428894,707000,4,46
112440870,148975,4,10
112446646,1750000,4,16
112449966,1755000,5,1
112452707,65555,4,4
112463434,33111,3,85
112539378,2399000,4,2
112575246,4553000,5,2
112579977,7763000,3,1
112583744,18111,3,16
112598025,940000,1,1
112609680,2999000,3,2
112621580,475000,5,1
11262644,2599000,4,27
112802382,119500,4,17
112803054,3100000,5,1
112805465,3200000,5,1
112810593,5518000,3,3
11285198,809000,5,3
112866235,70000,5,1
112981,712600,5,3
11309328,5300000,5,1
113265588,3999000,5,4
113280533,85000,2,24
11328671,98000,5,6
11328713,94000,4,262
11328821,51500,5,3
113386,773000,4,14
113446818,159900,5,2
113456438,160000,5,5
113524391,900000,5,7
113553500,795000,5,1
113916102,47000,4,149
114010489,93636,3,2
114022164,1900000,3,15
114051979,57000,5,1
114052527,39000,4,3
11409620,250000,5,1
1141351,74500,1,1
1141800,93100,5,1
114444,773000,4,6
114477,773000,5,8
114499,1088000,4,2
11495505,100000,4,1
115016620,48000,4,90
11502352,2254000,5,2
11515524,89000,1,1
11515558,77000,2,3
11520717,1080000,4,4
11520986,875000,4,74
11549405,5699000,1,1
11549503,65000,5,1
11549886,65000,4,1
11549933,4559000,4,2
11550979,3599000,2,1
115558,749500,4,17
115569,1088500,4,15
115796,1645000,5,2
11587387,875000,4,65
11587428,769500,4,49
11587451,838000,4,18
11587467,769500,4,12
11587487,838000,4,15
11595228,1220000,4,52
11595304,1220000,4,23
11595316,1185000,4,19
11595348,1185000,4,51
11595360,1185000,4,15
11595362,1185000,4,16
116135,1825000,4,13
116175312,55600,3,2
116331238,780000,4,5
11656374,3699000,5,2
116589456,43700,5,1
11678101,75000,4,6
11678157,125000,4,12
11678180,83000,4,32
11678817,86000,4,14
116868,150000,5,1
11701303,205000,5,1
11702693,175000,5,1
11702818,225000,5,1
117225,65000,4,593
117276114,733000,4,45
117276122,733000,4,28
117276123,733000,4,27
117276127,733000,4,55
117276131,733000,4,21
117276142,733000,4,16
117276146,1220000,4,59
117276149,1185000,4,30
117276152,1185000,4,11
117276158,1220000,4,33
117276162,1153000,4,10
117276170,1185000,4,11
117276178,1709500,4,15
117276182,1709500,5,5
117276191,1709500,5,12
117276197,1709500,5,5
117282687,5247700,4,1
117346045,825000,4,2
117488518,5374000,3,1
117494449,16200000,5,1
117495168,2150000,3,6
117841997,55600,4,2
117850911,720000,5,3
117862395,14199000,5,3
11788077,2095000,4,15
11788087,2095000,3,4
11789450,3850000,5,2
11791703,1995000,4,11
1179900,254500,4,7
118083411,5580000,3,3
118106088,415000,4,5
118109021,299900,5,3
118111947,575000,5,2
118132500,14999000,1,1
118146188,58000,4,2
118389252,16495000,5,1
118395996,999000,5,1
11847511,479000,1,1
11890839,100000,4,4
119032895,195000,1,1
119032972,188000,3,9
11906507,49000,3,15
119244473,20299000,5,1
119508433,3860000,2,1
119519885,80000,5,1
119825182,728500,4,8
119825189,728500,4,3
119825194,728500,5,4
119825195,728500,5,5
119825208,728500,3,2
119825216,728500,5,4
119825219,1130000,4,3
119825236,1088500,5,2
119825240,1088500,5,2
119825246,1795000,5,1
11989520,64000,5,2
11989642,45000,5,1
120130178,4545000,4,5
120401137,67000,5,1
120661684,66000,1,1
120662278,27000,5,1
120662686,45000,4,7
120849562,18999000,5,1
120850831,23000000,4,1
121052459,77000,5,1
121218859,20390000,5,2
121235663,3999000,4,1
121244218,78570,4,696
121244695,117370,4,69
12125850,243000,2,15
12126005,243000,2,11
121265381,5299000,3,2
121339042,7350000,5,1
121478672,4860000,4,7
121497565,8999000,5,1
121640851,41000,5,1
121726678,43000,4,24
121786772,5294200,4,1
121803728,61500,4,33
121804031,41990,4,169
121916877,107000,1,1
122091,389500,1,1
122098705,5599000,5,1
122125180,61000,4,3
122143383,97000,4,2
122144862,27000,4,3
122145,669000,5,1
